iter	Passed	Remaining
428	2750	455
429	2757	448
430	2763	442
431	2769	435
432	2775	429
433	2782	423
434	2788	416
435	2795	410
436	2802	403
437	2808	397
438	2815	391
439	2821	384
440	2827	378
441	2833	371
442	2840	365
443	2846	359
444	2852	352
445	2859	346
446	2865	339
447	2871	333
448	2877	326
449	2883	320
450	2890	314
451	2896	307
452	2902	301
453	2909	294
454	2915	288
455	2922	281
456	2928	275
457	2934	269
458	2941	262
459	2947	256
460	2954	249
461	2960	243
462	2966	237
463	2972	230
464	2979	224
465	2985	217
466	2991	211
467	2998	205
468	3004	198
469	3010	192
470	3017	185
471	3023	179
472	3030	172
473	3036	166
474	3043	160
475	3049	153
476	3056	147
477	3062	140
478	3069	134
479	3076	128
480	3082	121
481	3089	115
482	3097	109
483	3103	102
484	3110	96
485	3116	89
486	3122	83
487	3129	76
488	3135	70
489	3141	64
490	3147	57
491	3154	51
492	3161	44
493	3168	38
494	3175	32
495	3181	25
496	3187	19
497	3194	12
498	3200	6
499	3207	0
