iter	Logloss
0	0.6827085836
1	0.6730016995
2	0.6632336461
3	0.6532346239
4	0.6459713808
5	0.6394631183
6	0.6320149662
7	0.6265177672
8	0.618735475
9	0.6114105017
10	0.6047952657
11	0.5984937872
12	0.593437983
13	0.5894960777
14	0.5839689748
15	0.579547964
16	0.5747378097
17	0.5712507693
18	0.5681696323
19	0.5643091128
20	0.5601261969
21	0.5569145699
22	0.5542040008
23	0.5516390121
24	0.5487697034
25	0.5463100867
26	0.5448955453
27	0.5415989108
28	0.5388261161
29	0.5365893674
30	0.5345175849
31	0.5322988773
32	0.5301311163
33	0.5277696271
34	0.5256710576
35	0.5237673416
36	0.5217290135
37	0.5202070035
38	0.5188935769
39	0.5174821465
40	0.5161826047
41	0.5141617612
42	0.5127804042
43	0.5111614678
44	0.5097669026
45	0.5087225675
46	0.5075965038
47	0.5068310897
48	0.5058879276
49	0.5046983005
50	0.50342384
51	0.5025477755
52	0.5015103456
53	0.5007791796
54	0.4999718975
55	0.4990697241
56	0.4983046082
57	0.4972148048
58	0.4966790885
59	0.4958200148
60	0.4952530012
61	0.4943940648
62	0.493591228
63	0.4928589328
64	0.4921503748
65	0.4914301579
66	0.4907621364
67	0.4901159233
68	0.4894199246
69	0.4886368762
70	0.4878975617
71	0.4872709273
72	0.4868967405
73	0.4864775707
74	0.4859512315
75	0.4854421687
76	0.4849724891
77	0.4843913181
78	0.4837568989
79	0.4832768593
80	0.4828552776
81	0.4823050533
82	0.4815965735
83	0.4812973155
84	0.4807406293
85	0.4804854512
86	0.4802333161
87	0.4799022531
88	0.4795272624
89	0.4792198656
90	0.4788466333
91	0.4783446547
92	0.4778946759
93	0.4775223467
94	0.4771517876
95	0.4767097434
96	0.4763590132
97	0.4760061904
98	0.4755698766
99	0.4750448563
100	0.4747361887
101	0.474277054
102	0.4739005492
103	0.473741031
104	0.4732560922
105	0.4729902268
106	0.4726892137
107	0.4723802586
108	0.4720368097
109	0.4718342614
110	0.4715510008
111	0.471319527
112	0.471025093
113	0.4708135176
114	0.4705007359
115	0.4702627018
116	0.4700150595
117	0.4697753519
118	0.4696237692
119	0.4692608879
120	0.4690682211
121	0.4687785536
122	0.4685958122
123	0.4682487421
124	0.4679992834
125	0.4679311334
126	0.4677154425
127	0.467347749
128	0.4670856801
129	0.4668989457
130	0.4665738638
131	0.4662202334
132	0.4659136725
133	0.4657541115
134	0.4655141651
135	0.4652704607
136	0.4650760473
137	0.4649310152
138	0.4647730317
139	0.4644855147
140	0.4643422757
141	0.4640932783
142	0.4638948535
143	0.4636659387
144	0.4634894676
145	0.4633277728
146	0.4631432449
147	0.4629432905
148	0.4627380827
149	0.462550138
150	0.4623539761
151	0.4621395765
152	0.4619684169
153	0.4617474359
154	0.4615492771
155	0.4612830206
156	0.4611250215
157	0.4609340519
158	0.4607043342
159	0.4605512828
160	0.4603647589
161	0.4600987909
162	0.460093022
163	0.4599073836
164	0.4597530508
165	0.4595859584
166	0.4594675252
167	0.459250748
168	0.459179531
169	0.4590314203
170	0.4589376789
171	0.4587479488
172	0.4586131549
173	0.4584731107
174	0.4582136903
175	0.4579718782
176	0.4576709864
177	0.4575308622
178	0.4573354229
179	0.4571742418
180	0.4570721449
181	0.4569375759
182	0.4568310927
183	0.4566574469
184	0.4564892657
185	0.4564034462
186	0.4562652417
187	0.4561531562
