iter	Passed	Remaining
0	11	13364
1	23	14094
2	36	14617
3	49	14704
4	62	14886
5	75	14935
6	86	14816
7	100	14958
8	113	14962
9	125	14903
10	137	14896
11	151	14968
12	163	14916
13	175	14907
14	187	14846
15	200	14817
16	213	14842
17	226	14901
18	240	14936
19	251	14842
20	263	14775
21	276	14822
22	290	14858
23	303	14890
24	316	14870
25	329	14862
26	341	14843
27	356	14914
28	372	15024
29	385	15018
30	398	15035
31	412	15054
32	426	15069
33	441	15127
34	453	15102
35	466	15091
36	480	15116
37	493	15093
38	507	15093
39	518	15025
40	531	15012
41	541	14943
42	554	14909
43	566	14880
44	578	14854
45	590	14823
46	603	14808
47	616	14795
48	629	14783
49	641	14761
50	654	14749
51	666	14721
52	679	14703
53	691	14668
54	703	14641
55	715	14619
56	728	14617
57	741	14603
58	754	14590
59	766	14563
60	778	14533
61	790	14502
62	800	14442
63	811	14397
64	822	14356
65	831	14285
66	842	14246
67	854	14219
68	864	14172
69	875	14136
70	886	14099
71	896	14047
72	908	14023
73	919	13986
74	929	13940
75	940	13915
76	953	13905
77	965	13893
78	978	13882
79	989	13857
80	1002	13846
81	1015	13851
82	1028	13844
83	1041	13835
84	1055	13842
85	1066	13821
86	1079	13814
87	1092	13811
88	1106	13816
89	1120	13815
90	1132	13798
91	1144	13788
92	1159	13800
93	1173	13808
94	1187	13814
95	1202	13828
96	1216	13832
97	1230	13831
98	1243	13826
99	1255	13810
100	1266	13786
101	1279	13775
102	1291	13756
103	1303	13738
104	1316	13725
105	1328	13711
106	1339	13686
107	1350	13652
108	1361	13622
109	1371	13592
110	1382	13561
111	1392	13529
112	1403	13496
113	1414	13474
114	1424	13443
115	1436	13425
116	1446	13390
117	1456	13358
118	1467	13331
119	1479	13315
120	1489	13285
121	1499	13250
122	1511	13233
123	1523	13223
124	1539	13235
125	1551	13223
126	1564	13217
127	1577	13213
128	1589	13195
129	1602	13193
130	1614	13173
131	1627	13168
132	1639	13152
133	1654	13162
134	1666	13150
135	1679	13138
136	1693	13143
137	1705	13128
138	1719	13122
139	1730	13104
140	1742	13089
141	1755	13077
142	1766	13053
143	1776	13029
144	1789	13016
145	1800	13000
146	1811	12977
147	1824	12965
148	1836	12955
149	1849	12947
150	1860	12928
151	1872	12910
152	1884	12898
153	1896	12883
154	1908	12865
155	1919	12845
156	1931	12829
157	1941	12804
158	1953	12787
159	1962	12758
160	1974	12739
161	1984	12715
162	1994	12688
163	2004	12663
164	2015	12642
165	2027	12626
166	2036	12599
167	2048	12584
168	2059	12564
169	2071	12553
170	2082	12532
171	2095	12524
172	2108	12518
173	2121	12509
174	2131	12484
