iter	Passed	Remaining
0	11	13303
1	22	13604
2	32	13019
3	43	13147
4	54	13076
5	66	13169
6	77	13156
7	88	13152
8	99	13128
9	110	13206
10	120	13072
11	131	13053
12	144	13207
13	155	13183
14	166	13155
15	176	13053
16	187	13022
17	198	13004
18	208	12946
19	218	12897
20	228	12840
21	239	12808
22	251	12891
23	262	12879
24	273	12870
25	285	12884
26	297	12904
27	308	12907
28	319	12901
29	331	12912
30	342	12913
31	353	12892
32	364	12900
33	377	12947
34	389	12956
35	400	12954
36	412	12954
37	423	12950
38	435	12965
39	447	12990
40	460	13029
41	473	13043
42	484	13045
43	497	13080
44	510	13090
45	521	13094
46	534	13100
47	545	13093
48	555	13056
49	567	13048
50	578	13036
51	592	13073
52	604	13072
53	617	13111
54	630	13129
55	643	13140
56	654	13131
57	666	13131
58	677	13108
59	689	13105
60	700	13075
61	711	13066
62	722	13044
63	733	13022
64	744	12993
65	753	12954
66	763	12912
67	775	12906
68	785	12881
69	796	12865
70	806	12828
71	817	12802
72	827	12771
73	838	12754
74	848	12729
75	860	12731
76	870	12694
77	880	12670
78	889	12625
79	901	12615
80	911	12598
81	923	12590
82	936	12606
83	948	12597
84	960	12598
85	972	12597
86	982	12569
87	995	12575
88	1008	12587
89	1021	12597
90	1035	12614
91	1046	12603
92	1059	12609
93	1072	12615
94	1084	12613
95	1096	12605
96	1108	12606
97	1119	12592
98	1130	12571
99	1142	12571
100	1154	12560
101	1166	12562
102	1178	12549
103	1191	12558
104	1203	12554
105	1214	12538
106	1228	12550
107	1240	12541
108	1251	12529
109	1264	12530
110	1274	12506
111	1285	12490
112	1297	12477
113	1309	12475
114	1320	12457
115	1330	12434
116	1340	12408
117	1350	12381
118	1361	12370
119	1372	12354
120	1383	12340
121	1394	12322
122	1404	12294
123	1413	12263
124	1424	12246
125	1432	12213
126	1442	12188
127	1453	12170
128	1463	12151
129	1475	12143
130	1486	12134
131	1498	12125
132	1509	12107
133	1518	12082
134	1528	12054
135	1539	12042
136	1550	12029
137	1561	12015
138	1571	11993
139	1581	11973
140	1591	11955
141	1603	11946
142	1614	11931
143	1625	11917
144	1636	11904
145	1648	11897
146	1657	11872
147	1668	11859
148	1678	11837
149	1688	11818
150	1698	11796
151	1709	11785
152	1719	11769
153	1731	11758
154	1741	11738
155	1750	11716
156	1761	11699
157	1772	11689
158	1784	11682
159	1794	11666
160	1805	11653
161	1816	11639
162	1828	11630
163	1838	11615
164	1848	11594
165	1858	11578
166	1869	11566
167	1883	11567
168	1896	11568
169	1907	11558
170	1918	11541
171	1929	11529
172	1939	11513
173	1951	11506
174	1960	11484
175	1969	11460
176	1980	11449
177	1991	11432
178	2002	11423
179	2013	11412
180	2023	11394
181	2034	11379
182	2044	11362
183	2054	11344
184	2065	11332
185	2076	11318
186	2087	11305
187	2097	11292
188	2109	11282
189	2119	11269
190	2130	11257
191	2141	11244
192	2152	11232
193	2163	11218
194	2174	11207
195	2187	11204
196	2198	11191
197	2208	11178
198	2218	11158
199	2231	11158
200	2241	11142
201	2252	11127
202	2262	11110
203	2273	11098
204	2284	11088
205	2296	11080
206	2308	11074
207	2320	11065
208	2330	11050
209	2341	11039
210	2352	11028
211	2363	11013
212	2374	11001
213	2385	10989
214	2396	10977
215	2406	10963
216	2416	10947
217	2427	10936
218	2438	10921
219	2448	10907
220	2459	10893
221	2468	10875
222	2479	10863
223	2491	10857
224	2503	10847
225	2513	10830
226	2523	10815
227	2533	10801
228	2545	10792
229	2556	10780
230	2567	10771
