iter	Logloss
0	0.6818208382
1	0.6716081263
2	0.6620512484
3	0.6535741752
4	0.6441502659
5	0.6360408643
6	0.6295674322
7	0.6207420559
8	0.6145186729
9	0.6072842083
10	0.6006208577
11	0.5950344713
12	0.5893599833
13	0.5842950052
14	0.5793243399
15	0.5747625517
16	0.5710877629
17	0.5669567944
18	0.5629066928
19	0.5588327556
20	0.5566153338
21	0.5534549808
22	0.5498669583
23	0.5464258226
24	0.5433860277
25	0.5406099427
26	0.538507543
27	0.5350132649
28	0.5325312564
29	0.5304901966
30	0.5288319208
31	0.5268161408
32	0.5251763689
33	0.5226605222
34	0.5212574016
35	0.519322176
36	0.5175566376
37	0.5161813334
38	0.5140765865
39	0.5121750741
40	0.5105562014
41	0.5092598844
42	0.5075554108
43	0.506514635
44	0.5048636035
45	0.5036736302
46	0.5024688741
47	0.5012063831
48	0.5000554023
49	0.4993315595
50	0.4984348312
51	0.497492949
52	0.4962998221
53	0.4953121455
54	0.4947445482
55	0.4938299637
56	0.492781518
57	0.4916770071
58	0.4908171223
59	0.4897289641
60	0.4888952887
61	0.4879190586
62	0.4874976045
63	0.486608121
64	0.4858947926
65	0.4851293218
66	0.4843469354
67	0.4836382334
68	0.4830980572
69	0.4823248041
70	0.4817464799
71	0.4811001152
72	0.4807901672
73	0.4802150911
74	0.4796356426
75	0.4789669744
76	0.4785122455
77	0.4780722688
78	0.4772422173
79	0.4768277525
80	0.4764001499
81	0.4759509635
82	0.4754087431
83	0.4750093594
84	0.4743831034
85	0.473966726
86	0.473425541
87	0.4727591247
88	0.4722759529
89	0.4718266787
90	0.4711992329
91	0.470899219
92	0.4705536156
93	0.4701133743
94	0.4697424107
95	0.4694202482
96	0.4690418938
97	0.4685573216
98	0.4680670357
99	0.4676887599
100	0.467423115
101	0.4671248012
102	0.4667769631
103	0.4663076653
104	0.4659408761
105	0.4656309526
106	0.4651908893
107	0.4647496212
108	0.4644935779
109	0.4641775875
110	0.4638384758
111	0.4636020214
112	0.4633859429
113	0.4630081558
114	0.4626823176
115	0.4624155314
116	0.4621728204
117	0.4619404583
118	0.461569041
119	0.4612902632
120	0.4610149331
121	0.4606511997
122	0.4604028581
123	0.4601251803
124	0.4598468099
125	0.4596179025
126	0.4592457829
127	0.4589277909
128	0.4586762458
129	0.4582493042
130	0.4578499229
131	0.4576064036
132	0.4573249776
133	0.4569907992
134	0.4568740302
135	0.4565648142
136	0.4563582969
137	0.4562546798
138	0.4561188706
139	0.4558636833
140	0.4556383184
141	0.4554219374
142	0.4551803918
143	0.4548725238
144	0.4546120355
145	0.4544778217
146	0.4542458367
147	0.4540022047
148	0.4538335661
149	0.4535945489
150	0.4533445969
151	0.4531796008
152	0.4529889097
153	0.4526993065
154	0.4525618581
155	0.4523870322
156	0.4522254966
157	0.451952651
158	0.4517370078
159	0.4514879883
160	0.4511983863
161	0.4509671714
162	0.4506007317
163	0.450455088
164	0.4503202162
165	0.4500612742
166	0.449888354
167	0.4497186517
168	0.4494849718
169	0.4493529731
170	0.4492109556
171	0.4491361264
172	0.4490405258
173	0.4487445802
174	0.4484994431
175	0.448453762
176	0.4482161356
177	0.4479655678
178	0.4478037978
179	0.4475512107
180	0.447374683
181	0.4471750903
182	0.4470620867
183	0.4469640728
184	0.4468422748
185	0.4466710848
186	0.4464859581
187	0.4463467734
188	0.4461910979
189	0.4459672643
190	0.4457978519
191	0.445663137
192	0.4454958865
193	0.4453511586
194	0.4451303944
195	0.4449424436
196	0.4447790637
197	0.4445664859
198	0.4444464777
199	0.4442847042
200	0.4442181318
201	0.4440342754
202	0.443935963
203	0.4436638851
204	0.4434943632
205	0.4433355118
206	0.4431517716
207	0.4429837451
208	0.4427731184
209	0.4426175425
210	0.4424564003
211	0.4422627546
212	0.4420835966
213	0.4418908814
214	0.4416475211
215	0.441529256
216	0.4414251622
217	0.4411954544
218	0.4410292198
219	0.4409062689
220	0.4407628179
221	0.4406204044
222	0.4404802445
223	0.4402913612
224	0.4401964489
225	0.4400901616
226	0.4399246326
227	0.4397380996
228	0.439603244
229	0.4394684426
230	0.4392079357
231	0.4390585345
232	0.4388977103
233	0.4387217917
234	0.438633981
235	0.4385415526
236	0.4383560162
237	0.4382329268
238	0.4380701107
239	0.4379437667
240	0.4377564977
241	0.4376096969
242	0.4374223428
243	0.437236087
244	0.437058117
245	0.4368270884
246	0.4365965059
247	0.4363519391
248	0.4362195222
249	0.4360947825
250	0.4358087734
251	0.4356042163
252	0.4353384189
253	0.4351356792
254	0.4349619571
255	0.4347601362
256	0.4345524018
257	0.4343771411
258	0.4342428015
259	0.4340643332
260	0.4338386454
261	0.4336194325
262	0.4333879784
263	0.4331834695
264	0.4329681608
265	0.4327516947
266	0.4325313276
267	0.4322994246
268	0.4320397026
