iter	Passed	Remaining
0	11	13361
1	22	13527
2	35	14007
3	45	13625
4	55	13372
5	67	13367
6	78	13341
7	88	13251
8	100	13269
9	112	13400
10	124	13458
11	135	13392
12	146	13380
13	158	13467
14	170	13475
15	182	13469
16	192	13422
17	204	13449
18	216	13466
19	228	13509
20	241	13551
21	253	13553
22	265	13586
23	277	13577
24	288	13568
25	300	13583
26	312	13590
27	325	13615
28	337	13617
29	349	13627
30	361	13625
31	373	13634
32	386	13673
33	398	13672
34	410	13651
35	422	13652
36	435	13688
37	448	13708
38	461	13725
39	473	13720
40	484	13692
41	497	13716
42	510	13735
43	522	13738
44	535	13731
45	547	13723
46	557	13674
47	569	13668
48	581	13659
49	593	13649
50	606	13657
51	617	13624
52	629	13633
53	642	13644
54	654	13616
55	665	13604
56	677	13591
57	690	13594
58	702	13583
59	714	13580
60	727	13578
61	739	13581
62	751	13562
63	762	13526
64	772	13496
65	783	13465
66	795	13453
67	805	13405
68	816	13381
69	827	13357
70	837	13313
71	848	13288
72	859	13265
73	869	13234
74	880	13208
75	891	13179
76	903	13170
77	915	13163
78	924	13123
79	936	13115
80	948	13098
81	961	13102
82	973	13096
83	984	13077
84	994	13051
85	1005	13019
86	1015	12994
87	1025	12963
88	1037	12953
89	1049	12940
90	1060	12925
91	1070	12897
92	1081	12876
93	1092	12849
94	1103	12839
95	1113	12810
96	1123	12780
97	1135	12767
98	1146	12748
99	1155	12715
100	1166	12692
101	1176	12664
102	1187	12648
103	1199	12637
104	1210	12626
105	1221	12601
106	1231	12581
107	1241	12552
108	1252	12532
109	1261	12504
110	1273	12491
111	1284	12478
112	1295	12461
113	1305	12437
114	1315	12410
115	1325	12389
116	1337	12380
117	1349	12369
118	1360	12359
119	1370	12338
120	1380	12310
121	1390	12283
122	1399	12252
123	1409	12233
124	1419	12207
125	1430	12190
126	1441	12179
127	1451	12152
128	1461	12136
129	1472	12120
130	1484	12110
131	1494	12094
132	1504	12073
133	1514	12050
134	1524	12030
135	1536	12020
136	1547	12008
137	1558	11994
138	1568	11974
139	1579	11958
140	1589	11935
141	1597	11904
142	1608	11890
143	1619	11876
144	1630	11860
145	1640	11846
146	1651	11831
147	1661	11810
148	1672	11795
149	1680	11764
150	1690	11740
151	1700	11722
152	1711	11710
153	1721	11694
154	1733	11688
155	1746	11691
156	1760	11696
157	1774	11704
158	1787	11702
159	1800	11706
160	1813	11703
161	1826	11700
162	1837	11691
163	1849	11685
164	1862	11682
165	1873	11668
166	1883	11650
167	1894	11637
168	1905	11625
169	1918	11620
170	1929	11612
171	1941	11600
172	1953	11595
173	1964	11583
174	1975	11573
175	1987	11566
176	2000	11562
177	2012	11553
178	2023	11541
179	2033	11521
180	2045	11513
181	2056	11500
182	2066	11486
183	2076	11468
184	2087	11455
185	2100	11449
186	2111	11439
187	2121	11421
188	2133	11412
189	2145	11402
190	2156	11390
191	2167	11377
192	2178	11365
193	2190	11358
194	2201	11344
195	2212	11333
196	2224	11324
197	2234	11309
198	2245	11296
199	2257	11287
200	2269	11278
201	2281	11271
202	2292	11258
203	2304	11249
204	2314	11232
205	2325	11222
206	2337	11214
207	2349	11205
208	2361	11198
209	2372	11184
210	2383	11173
211	2395	11164
212	2406	11151
213	2416	11135
214	2427	11121
215	2438	11110
216	2450	11099
217	2461	11089
218	2474	11083
219	2486	11076
220	2497	11061
221	2509	11054
222	2521	11045
223	2533	11037
224	2544	11024
225	2554	11010
226	2566	11001
227	2576	10984
228	2588	10974
229	2600	10968
230	2612	10960
231	2623	10945
232	2635	10937
233	2646	10927
234	2657	10914
235	2670	10906
236	2680	10892
237	2692	10885
238	2704	10873
239	2714	10858
240	2726	10847
241	2736	10834
242	2748	10823
243	2759	10812
244	2770	10797
245	2781	10788
246	2793	10776
247	2803	10760
248	2813	10747
249	2825	10736
250	2835	10721
251	2847	10711
252	2856	10691
253	2869	10685
254	2879	10672
255	2891	10662
256	2901	10648
257	2914	10642
258	2926	10632
259	2939	10626
260	2951	10617
261	2962	10605
262	2972	10591
263	2983	10579
264	2994	10565
265	3006	10556
266	3018	10548
267	3028	10532
268	3037	10514
269	3048	10501
270	3057	10480
271	3066	10463
272	3078	10453
273	3088	10439
274	3101	10431
275	3110	10414
276	3120	10397
