iter	Logloss
0	0.6827424205
1	0.6720605773
2	0.6636451894
3	0.6554730949
4	0.6478999143
5	0.6390533056
6	0.631877623
7	0.6255504908
8	0.6186750797
9	0.6111544519
10	0.6043043268
11	0.5988064963
12	0.5925465986
13	0.5875307954
14	0.5827411066
15	0.5787554276
16	0.5746013148
17	0.5703465433
18	0.5661789329
19	0.5626921481
20	0.559932425
21	0.5558695676
22	0.5527788159
23	0.5498826588
24	0.5478814336
25	0.5443879941
26	0.5412740849
27	0.5390264948
28	0.5364856618
29	0.5343529148
30	0.5323559831
31	0.5307283697
32	0.5290254571
33	0.5268717604
34	0.5242633155
35	0.5225729978
36	0.5205189912
37	0.5189544781
38	0.5175752676
39	0.5167421186
40	0.5154155058
41	0.5141081364
42	0.5127047203
43	0.5110156993
44	0.5099224515
45	0.5082835791
46	0.5073241635
47	0.50599609
48	0.504724799
49	0.5035783722
50	0.5026279394
51	0.5018467484
52	0.5009912773
53	0.4998082329
54	0.4988129887
55	0.4978873103
56	0.4970282269
57	0.496170803
58	0.4955909538
59	0.494854569
60	0.4939094827
61	0.4930330929
62	0.4921774289
63	0.4914631013
64	0.4908553504
65	0.4904006506
66	0.4896398056
67	0.4890800877
68	0.4882716729
69	0.4874752172
70	0.4869406088
71	0.486348147
72	0.4858054446
73	0.4852207468
74	0.4847229248
75	0.4842231449
76	0.4835896323
77	0.4831242202
78	0.4826145327
79	0.4819701507
80	0.4815751578
81	0.481174827
82	0.4807346025
83	0.4803443231
84	0.479838385
85	0.4792972192
86	0.4787794183
87	0.4784108802
88	0.4780963419
89	0.4775396584
90	0.4770564168
91	0.4768459776
92	0.4763227082
93	0.4760047478
94	0.4755063774
95	0.475118663
96	0.4747753856
97	0.4742630641
98	0.4738370119
99	0.4734513002
100	0.473198125
101	0.4729582685
102	0.4726579626
103	0.4721382378
104	0.4717778703
105	0.4716175884
106	0.4712008259
107	0.4709040401
108	0.4705407142
109	0.4702247995
110	0.4699174848
111	0.4697196019
112	0.4693721903
113	0.4691118349
114	0.4687369872
115	0.4684726141
116	0.4680800681
117	0.4676949355
118	0.4674580768
119	0.467145171
120	0.4669354449
121	0.4667477392
122	0.4665189202
123	0.4663428073
124	0.4661232942
125	0.4657772316
126	0.4654720822
127	0.4651914815
128	0.465042917
129	0.464696844
130	0.4644967142
131	0.4642329676
132	0.464041106
133	0.4637192326
134	0.4635568367
135	0.4633142257
136	0.4630735135
137	0.4628417526
138	0.4625188776
139	0.4622916432
140	0.4620760871
141	0.4619679021
142	0.4617591342
143	0.4615026492
144	0.4613367236
145	0.4611203889
146	0.4609465415
147	0.4606946638
148	0.4603332696
149	0.460137629
150	0.4599726715
151	0.4597901644
152	0.4595530419
153	0.4594037616
154	0.4592536832
155	0.4588840565
156	0.4586333666
157	0.4583831052
158	0.4582408432
159	0.4580686041
160	0.4577840352
161	0.4575087162
162	0.4572947757
163	0.4570566067
164	0.4568796395
165	0.4567387845
166	0.4565996727
167	0.4563877591
168	0.4562197105
169	0.4559410614
170	0.455684781
171	0.4554336734
172	0.4552273675
173	0.4550942717
174	0.4549680494
175	0.4548207647
176	0.4545640593
177	0.4544361891
178	0.4543123013
179	0.4541270816
180	0.4539293797
181	0.453796635
182	0.4537056701
183	0.4535704207
184	0.4533860399
185	0.4530688536
186	0.4528785133
187	0.4527172983
188	0.4525710607
189	0.4524425699
190	0.4523470023
191	0.4522436793
192	0.4521257555
193	0.4519309657
194	0.4517524793
195	0.4515272344
196	0.451416296
197	0.4512499467
198	0.4510798717
199	0.4509057879
200	0.4506856422
201	0.4505063947
202	0.4503309643
203	0.4502048557
204	0.4500219662
205	0.4498557486
206	0.4496228731
207	0.4494266828
208	0.449253629
209	0.4491597423
210	0.4490647571
211	0.4489284773
212	0.4488029532
213	0.4486099454
214	0.4484581657
215	0.4482381584
216	0.4480502308
217	0.4478470497
218	0.4476925361
219	0.4475286808
220	0.4473879723
221	0.4471570838
222	0.4469319679
223	0.4467708118
224	0.4466784504
225	0.446536923
226	0.4463589002
227	0.4462372235
228	0.4461125129
229	0.4458825621
230	0.4457544436
231	0.4455580607
232	0.4452979489
233	0.4451589863
234	0.4450342887
235	0.4448960045
236	0.4447447469
237	0.4445261785
238	0.4443408034
239	0.4442276279
240	0.443954177
241	0.4438205686
242	0.443613826
243	0.4434701703
244	0.4433390455
245	0.4431958136
246	0.4430521976
247	0.4428745986
248	0.4426433784
249	0.4424674257
250	0.4422947271
