iter	Logloss
0	0.6818980506
1	0.670872173
2	0.6620143451
3	0.6548578848
4	0.6471944957
5	0.6397232948
6	0.6331743281
7	0.6247901561
8	0.6174013459
9	0.610606319
10	0.6040754114
11	0.5986947649
12	0.5926437562
13	0.5872671244
14	0.5819911733
15	0.5780995589
16	0.5740962053
17	0.5704711645
18	0.5670599259
19	0.56390763
20	0.560128999
21	0.5571131741
22	0.5544213653
23	0.5509299876
24	0.548426371
25	0.5459429862
26	0.5427205713
27	0.5398053173
28	0.5377684361
29	0.5354732033
30	0.5335867522
31	0.5314864792
32	0.5290920047
33	0.5273393149
34	0.5251445236
35	0.5234319395
36	0.5213919878
37	0.5196666076
38	0.518321885
39	0.5166155782
40	0.5151291661
41	0.5139700218
42	0.512665977
43	0.5114478285
44	0.5102723741
45	0.5085410274
46	0.5073096386
47	0.5059959227
48	0.5046806472
49	0.5038888759
50	0.5028496368
51	0.5013517389
52	0.5002749513
53	0.4994930026
54	0.4988288958
55	0.4977271496
56	0.4966992372
57	0.4955601199
58	0.4948546965
59	0.4936995338
60	0.492682156
61	0.4917834555
62	0.491310865
63	0.4906941065
64	0.4898730442
65	0.4891480542
66	0.4885811226
67	0.4879512049
68	0.4871492341
69	0.4864727654
70	0.485830982
71	0.4854071307
72	0.4848120887
73	0.4840938787
74	0.4833424835
75	0.4826649288
76	0.482160579
77	0.4818249466
78	0.4811011281
79	0.4807860905
80	0.4802115832
81	0.479824999
82	0.4792798464
83	0.4787395638
84	0.4782507966
85	0.4777375468
86	0.4772106911
87	0.4769123007
88	0.4763329558
89	0.475858894
90	0.475441359
91	0.4750481905
92	0.4747074283
93	0.474314298
94	0.4736542561
95	0.4733715586
96	0.4729819648
97	0.4726073963
98	0.4721681317
99	0.4716432029
100	0.4712074552
101	0.4708141621
102	0.4704576051
103	0.4699902877
104	0.4697298095
105	0.4693224945
106	0.4689337059
107	0.4686578673
108	0.4683439875
109	0.4678409814
110	0.4674362391
111	0.4670945067
112	0.466655317
113	0.4663700981
114	0.4661008501
115	0.4658184221
116	0.4653941592
117	0.4652505389
118	0.4649268665
119	0.4645300151
120	0.4642919828
121	0.4640176365
122	0.4637506898
123	0.463627779
124	0.4633464004
125	0.4629540114
126	0.4626863193
127	0.4623497894
128	0.4621364433
129	0.4617027685
130	0.4613238688
131	0.4611211057
132	0.4608673863
133	0.4603935321
134	0.4602840818
135	0.4599241273
136	0.4597358581
137	0.4595488159
138	0.4592589833
139	0.4591034773
140	0.4588418504
141	0.4585597482
142	0.4583946207
143	0.4582280434
144	0.45809841
145	0.4579279801
146	0.4577462522
147	0.4576672971
148	0.4574375568
149	0.457252882
150	0.4570879008
151	0.4567937545
152	0.456566778
153	0.4563722317
154	0.4561372012
155	0.4559646037
156	0.4557909019
157	0.4555753713
158	0.4553982925
159	0.4552286922
160	0.4549189407
161	0.4545925775
162	0.4544683992
163	0.4542298755
164	0.4540090126
165	0.4538317219
166	0.4536136906
167	0.4533667488
168	0.4532427384
169	0.4531259744
170	0.4529448169
171	0.4527672556
172	0.4526055266
