iter	Passed	Remaining
0	10	12626
1	21	12891
2	31	12409
3	42	12757
4	53	12762
5	63	12735
6	75	12831
7	85	12769
8	97	12847
9	108	12922
10	119	12882
11	129	12845
12	139	12781
13	152	12910
14	164	13008
15	175	12973
16	186	12960
17	196	12910
18	208	12956
19	219	12956
20	230	12937
21	240	12876
22	251	12857
23	261	12813
24	272	12788
25	282	12764
26	293	12770
27	305	12778
28	316	12797
29	328	12799
30	340	12824
31	351	12835
32	363	12860
33	373	12809
34	384	12811
35	396	12818
36	407	12815
37	419	12818
38	430	12809
39	442	12820
40	452	12786
41	463	12777
42	473	12730
43	483	12713
44	494	12695
45	504	12654
46	516	12659
47	526	12640
48	538	12643
49	549	12638
50	559	12615
51	571	12627
52	583	12629
53	594	12612
54	604	12585
55	614	12550
56	625	12547
57	637	12552
58	648	12534
59	659	12527
60	671	12530
61	683	12554
62	697	12581
63	709	12591
64	720	12575
65	731	12570
66	743	12569
67	754	12553
68	764	12534
69	775	12520
70	787	12523
71	798	12502
72	809	12490
73	819	12474
74	831	12466
75	843	12477
76	855	12476
77	866	12458
78	877	12450
79	887	12426
80	897	12405
81	909	12396
82	919	12372
83	930	12364
84	940	12343
85	952	12341
86	963	12328
87	975	12330
88	987	12330
89	999	12323
90	1010	12319
91	1024	12333
92	1036	12342
93	1049	12350
94	1062	12360
95	1073	12346
96	1086	12359
97	1099	12359
98	1111	12365
99	1124	12372
100	1137	12375
101	1149	12379
102	1161	12367
103	1173	12370
104	1185	12362
105	1197	12357
106	1208	12349
107	1221	12353
108	1236	12374
109	1249	12379
110	1262	12387
111	1275	12390
112	1287	12384
113	1298	12373
114	1311	12369
115	1322	12359
116	1333	12346
117	1344	12327
118	1356	12320
119	1366	12297
120	1377	12283
121	1389	12275
122	1399	12255
123	1409	12228
124	1418	12200
125	1428	12178
126	1439	12158
127	1449	12143
128	1460	12123
129	1470	12104
130	1481	12092
131	1493	12082
132	1504	12070
133	1516	12063
134	1527	12046
135	1537	12025
136	1547	12006
137	1557	11988
138	1568	11975
139	1578	11954
140	1590	11947
141	1602	11941
142	1613	11927
143	1624	11910
144	1636	11905
145	1647	11894
146	1657	11875
147	1667	11850
148	1677	11829
149	1686	11808
150	1697	11795
151	1709	11785
152	1719	11769
153	1731	11761
154	1743	11751
155	1754	11740
156	1765	11731
157	1776	11717
158	1786	11696
159	1795	11669
160	1806	11659
161	1818	11649
162	1828	11629
163	1837	11608
164	1847	11587
165	1858	11573
166	1868	11558
167	1878	11538
168	1887	11516
169	1896	11491
170	1907	11477
171	1918	11463
172	1927	11443
173	1937	11426
174	1948	11411
175	1958	11396
176	1968	11379
177	1980	11369
178	1992	11366
179	2004	11359
180	2016	11352
181	2029	11350
182	2040	11341
183	2055	11348
184	2067	11343
185	2079	11334
186	2089	11320
187	2102	11320
188	2115	11317
189	2127	11309
190	2141	11310
191	2153	11305
192	2167	11308
193	2183	11321
194	2196	11320
195	2208	11315
196	2228	11344
197	2242	11350
198	2257	11353
199	2271	11358
200	2285	11357
201	2298	11356
202	2310	11348
203	2325	11355
204	2337	11345
205	2352	11350
206	2368	11360
207	2384	11374
208	2402	11391
209	2415	11387
210	2428	11382
211	2441	11376
212	2452	11364
213	2463	11351
214	2476	11346
215	2487	11329
216	2500	11328
217	2515	11330
218	2528	11325
219	2540	11318
220	2553	11312
221	2567	11311
222	2579	11300
223	2593	11298
224	2608	11302
225	2623	11306
226	2644	11336
227	2659	11338
228	2673	11337
229	2688	11336
230	2702	11335
231	2716	11333
232	2731	11334
233	2743	11325
234	2757	11321
235	2768	11310
236	2784	11314
237	2796	11304
238	2815	11321
239	2828	11314
240	2842	11312
241	2854	11298
242	2867	11294
243	2888	11317
244	2901	11310
245	2922	11333
246	2941	11349
247	2961	11369
248	2977	11373
249	2997	11390
250	3010	11384
251	3028	11394
252	3048	11408
253	3065	11418
254	3083	11428
255	3105	11450
256	3123	11460
257	3141	11469
258	3159	11478
259	3176	11483
260	3194	11491
261	3210	11493
262	3229	11507
263	3247	11513
264	3263	11516
265	3279	11515
266	3295	11515
267	3311	11516
268	3325	11511
269	3340	11507
270	3355	11504
271	3373	11508
272	3400	11545
273	3415	11544
274	3439	11568
275	3454	11564
276	3479	11592
277	3493	11586
278	3516	11609
279	3534	11614
280	3559	11639
281	3575	11640
282	3597	11657
283	3613	11654
284	3632	11662
285	3648	11658
286	3665	11661
287	3680	11655
288	3695	11648
289	3709	11640
290	3723	11630
291	3737	11621
292	3750	11610
293	3763	11597
294	3777	11588
295	3793	11584
296	3810	11584
297	3826	11581
298	3846	11589
299	3859	11577
300	3871	11564
301	3885	11553
302	3901	11548
303	3922	11562
304	3937	11554
305	3954	11554
306	3968	11544
307	3983	11535
308	3997	11525
309	4010	11514
310	4031	11525
311	4045	11513
312	4060	11507
313	4075	11500
314	4091	11495
315	4107	11489
316	4123	11485
317	4138	11479
318	4151	11464
319	4171	11471
320	4186	11463
321	4201	11456
322	4214	11442
323	4230	11437
