iter	Logloss
0	0.682648273
1	0.6715098699
2	0.6626680826
3	0.6550555256
4	0.6458871516
5	0.6368195706
6	0.6291213447
7	0.6234170984
8	0.6161643629
9	0.6098494059
10	0.6049364881
11	0.6000249363
12	0.5946555125
13	0.5917920858
14	0.5870915306
15	0.5819574029
16	0.5773449099
17	0.5731952107
18	0.569230478
19	0.565039324
20	0.5604954879
21	0.5565613507
22	0.553752157
23	0.5508294876
24	0.5471894234
25	0.5440400576
26	0.5413188782
27	0.5388518248
28	0.5359786426
29	0.5336522128
30	0.5311006548
31	0.5291574335
32	0.5270542829
33	0.5255641368
34	0.5244228166
35	0.5223241048
36	0.5202584835
37	0.5184749872
38	0.5168785041
39	0.5155974521
40	0.5141099422
41	0.5124986955
42	0.5113286747
43	0.5101270827
44	0.5086410191
45	0.5071570187
46	0.5060846656
47	0.5049413801
48	0.5039211736
49	0.502676775
50	0.501352222
51	0.5005921583
52	0.4994698699
53	0.4985794111
54	0.4974845323
55	0.4966921396
56	0.4960484726
57	0.4953009831
58	0.4944086468
59	0.4936456392
60	0.4930006244
61	0.492019524
62	0.4910660481
63	0.4904950076
64	0.4898301405
65	0.4892717285
66	0.4886468442
67	0.4878459109
68	0.4872291652
69	0.4866079185
70	0.4859450603
71	0.4854909464
72	0.4847572268
73	0.4838659359
74	0.4832231723
75	0.4828651999
76	0.4821361889
77	0.4815801818
78	0.4810686262
79	0.4805371109
80	0.4801544551
81	0.4795455839
82	0.4790021929
83	0.4784562182
84	0.4779438156
85	0.4773098354
86	0.4766354117
87	0.4759023963
88	0.4753447192
89	0.4749236395
90	0.474513132
91	0.4740686353
92	0.4736139188
93	0.4731464478
94	0.4726658899
95	0.4723759265
96	0.4718961858
97	0.4715561079
98	0.4711617498
99	0.470701709
100	0.4703184158
101	0.4700520715
102	0.4697174712
103	0.4694259819
104	0.4692166005
105	0.4688269135
106	0.4684499003
107	0.468192831
108	0.4676638855
109	0.4674235599
110	0.4669792059
111	0.4667035246
112	0.4664720302
113	0.4660375769
114	0.4657897452
115	0.4654411486
116	0.4651785792
117	0.4649227316
118	0.4646859386
119	0.4643815151
120	0.4641020025
121	0.4637970541
122	0.4635935046
123	0.4633147588
124	0.4631040526
125	0.4628641555
126	0.4626628698
127	0.4624317679
128	0.4622175469
129	0.4620268831
130	0.4616275924
131	0.4614033873
132	0.4611143265
133	0.4608928913
134	0.4607411723
135	0.4605513302
136	0.4602791245
137	0.4600306065
138	0.4597839351
139	0.4594767755
140	0.4592049532
141	0.4589423678
142	0.4588184824
143	0.4585916571
144	0.4583910082
145	0.4582465606
146	0.4581375351
147	0.4578788615
148	0.4576714289
149	0.4574494849
150	0.4572213503
151	0.4569492451
152	0.4567487213
153	0.4564982239
154	0.456287874
155	0.4561171235
156	0.4558353226
157	0.4555575582
158	0.4553806372
159	0.4552114604
160	0.4550080754
161	0.4547770286
162	0.4545818497
163	0.4544698359
164	0.4541634799
165	0.4540314917
166	0.4538630296
167	0.4537284497
168	0.4534807717
169	0.4531874385
170	0.4529559514
171	0.4527274142
172	0.4525565027
173	0.4524130311
174	0.4522405075
175	0.4519648256
176	0.4518021832
177	0.4516007531
178	0.451432609
179	0.4512214964
180	0.4509248414
181	0.4507875376
182	0.4505948526
183	0.4504789256
184	0.450369817
185	0.4501464335
186	0.449910809
187	0.4496918199
188	0.4494491285
189	0.4493479576
190	0.4491479906
191	0.4489613742
192	0.4487827076
193	0.448623026
194	0.4484745368
195	0.4483143118
196	0.4481705181
197	0.4479998179
198	0.4478574642
199	0.4476369288
200	0.4474356506
201	0.4472450436
202	0.4470854425
203	0.4469128927
204	0.446733459
205	0.4465931856
206	0.4464751215
207	0.4460983774
208	0.4459891336
209	0.4457541293
210	0.4455863432
211	0.44538901
212	0.4452413004
213	0.4450678629
214	0.444848472
215	0.4446102071
216	0.4443719235
217	0.4442112182
218	0.4440367432
219	0.4438822009
220	0.4436979479
221	0.4435405226
222	0.4434790706
223	0.4433479551
224	0.4431719038
225	0.4430481058
226	0.442932176
227	0.4427622587
228	0.4426035807
229	0.4424243622
230	0.442252002
231	0.4420648784
232	0.4419296007
233	0.4418029998
234	0.4416151365
235	0.4414322742
236	0.4413428586
237	0.4412234602
238	0.4410893424
239	0.4409186399
240	0.4407895881
241	0.4405830291
242	0.4403622563
243	0.440180205
244	0.4399918215
245	0.4397801631
246	0.4396053477
247	0.4394892515
248	0.4393250075
249	0.4391685981
250	0.4389474328
251	0.4387796102
252	0.438560416
253	0.4383355939
254	0.438025797
255	0.4377890831
256	0.4376283578
257	0.4374412717
258	0.4372026071
259	0.4369238023
260	0.4367613278
